product_line,total,sales_status
"Food and beverages",152.84,Bad
"Sports and travel",92.87,Bad
"Health and beauty",94.24,Bad
"Electronic accessories",83.41,Bad
"Fashion accessories",208.43,Bad
"Health and beauty",53.34,Bad
"Fashion accessories",204.25,Bad
"Food and beverages",167.58,Bad
"Home and lifestyle",206.80,Bad
"Fashion accessories",431.26,Good
"Home and lifestyle",38.85,Bad
"Electronic accessories",757.37,Good
"Sports and travel",79.61,Bad
"Home and lifestyle",229.11,Bad
"Electronic accessories",149.36,Bad
"Health and beauty",95.87,Bad
"Electronic accessories",41.45,Bad
"Electronic accessories",107.14,Bad
"Home and lifestyle",399.76,Good
"Home and lifestyle",252.25,Bad
"Electronic accessories",191.25,Bad
"Sports and travel",503.56,Good
"Electronic accessories",833.60,Good
"Home and lifestyle",375.36,Good
"Food and beverages",514.77,Good
"Sports and travel",397.99,Good
"Fashion accessories",745.40,Good
"Electronic accessories",681.98,Good
"Sports and travel",270.59,Bad
"Food and beverages",235.68,Bad
"Food and beverages",554.15,Good
"Sports and travel",575.98,Good
"Fashion accessories",253.51,Bad
"Electronic accessories",241.46,Bad
"Food and beverages",209.12,Bad
"Electronic accessories",225.02,Bad
"Health and beauty",122.47,Bad
"Electronic accessories",33.36,Bad
"Home and lifestyle",79.15,Bad
"Food and beverages",418.95,Good
"Food and beverages",175.01,Bad
"Fashion accessories",796.91,Good
"Food and beverages",31.23,Bad
"Sports and travel",279.18,Bad
"Sports and travel",853.15,Good
"Food and beverages",71.57,Bad
"Sports and travel",451.03,Good
"Electronic accessories",218.01,Bad
"Health and beauty",520.80,Good
"Sports and travel",1002.12,Good
"Sports and travel",233.23,Bad
"Home and lifestyle",117.83,Bad
"Health and beauty",282.58,Bad
"Home and lifestyle",24.11,Bad
"Fashion accessories",78.00,Bad
"Electronic accessories",132.76,Bad
"Home and lifestyle",314.69,Bad
"Electronic accessories",204.70,Bad
"Health and beauty",18.64,Bad
"Fashion accessories",394.33,Good
"Sports and travel",130.04,Bad
"Sports and travel",47.86,Bad
"Fashion accessories",277.67,Bad
"Electronic accessories",80.66,Bad
"Health and beauty",351.60,Good
"Fashion accessories",324.29,Good
"Health and beauty",200.21,Bad
"Home and lifestyle",255.15,Bad
"Home and lifestyle",199.00,Bad
"Health and beauty",90.30,Bad
"Fashion accessories",352.58,Good
"Fashion accessories",404.36,Good
"Health and beauty",26.25,Bad
"Health and beauty",277.79,Bad
"Sports and travel",45.93,Bad
"Sports and travel",92.44,Bad
"Food and beverages",783.30,Good
"Health and beauty",40.96,Bad
"Fashion accessories",95.67,Bad
"Fashion accessories",33.50,Bad
"Fashion accessories",867.62,Good
"Fashion accessories",35.31,Bad
"Food and beverages",90.87,Bad
"Food and beverages",263.97,Bad
"Sports and travel",609.00,Good
"Electronic accessories",40.53,Bad
"Health and beauty",231.24,Bad
"Food and beverages",477.13,Good
"Sports and travel",78.72,Bad
"Fashion accessories",513.23,Good
"Home and lifestyle",122.52,Bad
"Electronic accessories",155.65,Bad
"Fashion accessories",59.33,Bad
"Sports and travel",254.02,Bad
"Health and beauty",190.16,Bad
"Sports and travel",304.92,Bad
"Food and beverages",143.22,Bad
"Electronic accessories",76.92,Bad
"Sports and travel",90.70,Bad
"Fashion accessories",718.76,Good
"Health and beauty",56.12,Bad
"Food and beverages",321.11,Bad
"Fashion accessories",588.42,Good
"Food and beverages",175.92,Bad
"Electronic accessories",550.94,Good
"Food and beverages",133.43,Bad
"Food and beverages",270.26,Bad
"Fashion accessories",16.28,Bad
"Home and lifestyle",801.86,Good
"Home and lifestyle",293.20,Bad
"Home and lifestyle",78.60,Bad
"Electronic accessories",102.02,Bad
"Health and beauty",202.82,Bad
"Fashion accessories",398.96,Good
"Fashion accessories",407.32,Good
"Health and beauty",145.58,Bad
"Food and beverages",133.92,Bad
"Fashion accessories",284.19,Bad
"Fashion accessories",95.92,Bad
"Electronic accessories",353.09,Good
"Sports and travel",377.58,Good
"Sports and travel",804.30,Good
"Home and lifestyle",100.49,Bad
"Electronic accessories",392.65,Good
"Fashion accessories",94.19,Bad
"Health and beauty",49.77,Bad
"Food and beverages",793.55,Good
"Fashion accessories",57.08,Bad
"Sports and travel",120.65,Bad
"Health and beauty",860.48,Good
"Fashion accessories",485.57,Good
"Health and beauty",212.69,Bad
"Electronic accessories",41.74,Bad
"Electronic accessories",333.21,Good
"Fashion accessories",384.47,Good
"Home and lifestyle",235.87,Bad
"Health and beauty",212.78,Bad
"Food and beverages",680.06,Good
"Sports and travel",150.78,Bad
"Fashion accessories",75.05,Bad
"Fashion accessories",702.22,Good
"Health and beauty",32.28,Bad
"Sports and travel",195.68,Bad
"Home and lifestyle",145.74,Bad
"Health and beauty",41.39,Bad
"Home and lifestyle",514.61,Good
"Fashion accessories",507.44,Good
"Home and lifestyle",734.08,Good
"Fashion accessories",172.49,Bad
"Health and beauty",867.09,Good
"Health and beauty",183.12,Bad
"Sports and travel",391.42,Good
"Food and beverages",76.58,Bad
"Home and lifestyle",340.53,Good
"Sports and travel",637.73,Good
"Fashion accessories",394.28,Good
"Electronic accessories",150.10,Bad
"Food and beverages",362.94,Good
"Home and lifestyle",25.26,Bad
"Food and beverages",103.64,Bad
"Health and beauty",176.40,Bad
"Health and beauty",752.64,Good
"Health and beauty",262.79,Bad
"Electronic accessories",181.44,Bad
"Electronic accessories",82.72,Bad
"Electronic accessories",836.30,Good
"Food and beverages",212.73,Bad
"Home and lifestyle",835.29,Good
"Sports and travel",703.75,Good
"Home and lifestyle",107.31,Bad
"Food and beverages",914.55,Good
"Home and lifestyle",629.50,Good
"Fashion accessories",273.80,Bad
"Sports and travel",343.41,Good
"Food and beverages",115.08,Bad
"Food and beverages",196.14,Bad
"Home and lifestyle",102.84,Bad
"Home and lifestyle",548.76,Good
"Sports and travel",195.59,Bad
"Fashion accessories",308.91,Bad
"Home and lifestyle",667.38,Good
"Health and beauty",618.98,Good
"Food and beverages",216.69,Bad
"Fashion accessories",35.20,Bad
"Food and beverages",65.74,Bad
"Home and lifestyle",194.12,Bad
"Fashion accessories",621.24,Good
"Fashion accessories",48.73,Bad
"Fashion accessories",817.24,Good
"Electronic accessories",64.00,Bad
"Electronic accessories",246.68,Bad
"Fashion accessories",160.86,Bad
"Sports and travel",146.22,Bad
"Health and beauty",506.64,Good
"Health and beauty",390.95,Good
"Sports and travel",419.83,Good
"Fashion accessories",53.93,Bad
"Electronic accessories",586.64,Good
"Fashion accessories",369.50,Good
"Food and beverages",214.94,Bad
"Food and beverages",575.74,Good
"Home and lifestyle",55.28,Bad
"Health and beauty",76.15,Bad
"Fashion accessories",165.12,Bad
"Fashion accessories",507.68,Good
"Health and beauty",628.93,Good
"Home and lifestyle",688.62,Good
"Electronic accessories",119.26,Bad
"Sports and travel",281.17,Bad
"Home and lifestyle",695.24,Good
"Electronic accessories",629.84,Good
"Sports and travel",194.99,Bad
"Electronic accessories",99.91,Bad
"Fashion accessories",56.47,Bad
"Electronic accessories",338.31,Good
"Food and beverages",881.31,Good
"Sports and travel",856.45,Good
"Sports and travel",85.30,Bad
"Fashion accessories",316.47,Bad
"Fashion accessories",72.87,Bad
"Health and beauty",44.35,Bad
"Fashion accessories",1039.29,Good
"Health and beauty",510.62,Good
"Food and beverages",294.65,Bad
"Fashion accessories",183.65,Bad
"Sports and travel",365.09,Good
"Food and beverages",172.75,Bad
"Food and beverages",311.19,Bad
"Sports and travel",226.07,Bad
"Sports and travel",146.33,Bad
"Sports and travel",81.40,Bad
"Food and beverages",852.71,Good
"Health and beauty",174.30,Bad
"Electronic accessories",627.62,Good
"Health and beauty",832.94,Good
"Electronic accessories",138.13,Bad
"Home and lifestyle",163.00,Bad
"Sports and travel",360.89,Good
"Electronic accessories",97.88,Bad
"Fashion accessories",943.30,Good
"Health and beauty",190.48,Bad
"Home and lifestyle",494.76,Good
"Health and beauty",218.07,Bad
"Electronic accessories",931.04,Good
"Home and lifestyle",182.95,Bad
"Sports and travel",401.27,Good
"Fashion accessories",431.45,Good
"Food and beverages",731.43,Good
"Electronic accessories",401.69,Good
"Food and beverages",262.46,Bad
"Sports and travel",207.48,Bad
"Electronic accessories",149.00,Bad
"Health and beauty",223.07,Bad
"Electronic accessories",223.59,Bad
"Sports and travel",517.97,Good
"Food and beverages",395.89,Good
"Sports and travel",479.90,Good
"Food and beverages",279.38,Bad
"Home and lifestyle",532.73,Good
"Sports and travel",44.99,Bad
"Fashion accessories",288.58,Bad
"Health and beauty",629.16,Good
"Health and beauty",339.36,Good
"Fashion accessories",370.13,Good
"Home and lifestyle",749.70,Good
"Health and beauty",406.88,Good
"Electronic accessories",203.11,Bad
"Food and beverages",33.43,Bad
"Food and beverages",333.95,Good
"Food and beverages",189.09,Bad
"Electronic accessories",121.13,Bad
"Food and beverages",250.28,Bad
"Home and lifestyle",317.23,Bad
"Health and beauty",760.44,Good
"Home and lifestyle",163.23,Bad
"Food and beverages",37.68,Bad
"Sports and travel",610.49,Good
"Health and beauty",214.75,Bad
"Home and lifestyle",441.69,Good
"Home and lifestyle",373.17,Good
"Health and beauty",609.59,Good
"Sports and travel",942.90,Good
"Home and lifestyle",195.17,Bad
"Food and beverages",72.40,Bad
"Electronic accessories",437.33,Good
"Home and lifestyle",521.01,Good
"Home and lifestyle",408.73,Good
"Electronic accessories",175.14,Bad
"Electronic accessories",143.99,Bad
"Food and beverages",51.04,Bad
"Fashion accessories",829.08,Good
"Home and lifestyle",97.82,Bad
"Electronic accessories",259.77,Bad
"Electronic accessories",264.76,Bad
"Sports and travel",353.17,Good
"Home and lifestyle",764.19,Good
"Health and beauty",918.73,Good
"Sports and travel",701.85,Good
"Home and lifestyle",493.79,Good
"Electronic accessories",138.66,Bad
"Home and lifestyle",1022.39,Good
"Fashion accessories",180.87,Bad
"Electronic accessories",185.37,Bad
"Electronic accessories",121.86,Bad
"Food and beverages",888.62,Good
"Food and beverages",22.66,Bad
"Home and lifestyle",135.58,Bad
"Sports and travel",183.04,Bad
"Fashion accessories",786.62,Good
"Fashion accessories",180.40,Bad
"Home and lifestyle",118.90,Bad
"Health and beauty",217.63,Bad
"Fashion accessories",397.61,Good
"Home and lifestyle",190.60,Bad
"Health and beauty",548.97,Good
"Sports and travel",144.96,Bad
"Home and lifestyle",1023.75,Good
"Sports and travel",937.82,Good
"Sports and travel",470.99,Good
"Fashion accessories",232.16,Bad
"Health and beauty",107.00,Bad
"Fashion accessories",20.69,Bad
"Fashion accessories",175.04,Bad
"Fashion accessories",462.67,Good
"Health and beauty",631.14,Good
"Fashion accessories",131.21,Bad
"Fashion accessories",130.03,Bad
"Home and lifestyle",128.43,Bad
"Electronic accessories",469.41,Good
"Electronic accessories",101.64,Bad
"Health and beauty",31.00,Bad
"Sports and travel",457.44,Good
"Health and beauty",922.64,Good
"Home and lifestyle",527.75,Good
"Fashion accessories",155.19,Bad
"Sports and travel",136.14,Bad
"Food and beverages",177.41,Bad
"Home and lifestyle",384.72,Good
"Home and lifestyle",138.98,Bad
"Home and lifestyle",217.26,Bad
"Home and lifestyle",253.01,Bad
"Electronic accessories",408.41,Good
"Fashion accessories",16.20,Bad
"Health and beauty",442.32,Good
"Home and lifestyle",93.04,Bad
"Food and beverages",181.88,Bad
"Fashion accessories",446.44,Good
"Food and beverages",484.52,Good
"Sports and travel",354.01,Good
"Food and beverages",88.37,Bad
"Sports and travel",10.68,Bad
"Food and beverages",536.99,Good
"Electronic accessories",300.22,Bad
"Food and beverages",507.91,Good
"Health and beauty",185.09,Bad
"Food and beverages",337.51,Good
"Health and beauty",233.10,Bad
"Home and lifestyle",178.16,Bad
